observed,adult_pedestrians,child_pedestrians,vehicles_no_parking,vehicles_parking,vehicles_official,dogs_leash,dogs_off_leash,dogs_defecating_pick_up,dogs_defecating_no_pick_up,kayak_group,private_kayaks,other_boats,fishers,birders,swimmers_waders,wildlife_disturbances,bicyclists,weather
2023-09-24T14:53:00Z,468,25,2,1,0,9,0,0,0,0,0,0,0,0,0,0,2,Clear
2023-09-23T00:35:00Z,419,33,0,2,0,16,1,0,0,0,0,0,0,0,1,2,0,Partly Cloudy
2023-09-17T10:15:00Z,55,1,1,0,0,2,2,1,0,0,0,0,0,0,0,2,0,Clear
2023-10-09T17:30:00Z,360,35,2,0,0,12,0,0,0,0,0,0,0,0,0,0,5,Clear
2023-10-09T16:30:00Z,478,52,2,1,0,18,0,0,0,0,0,0,0,0,0,2,5,Clear
2023-10-05T13:30:00Z,208,24,1,1,0,8,0,0,0,0,0,0,0,0,0,0,2,Partly Cloudy
2023-10-17T19:30:30Z,116,12,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,Overcast
2023-10-17T19:28:32Z,318,26,0,0,0,12,0,0,0,0,0,0,0,1,0,0,1,Overcast
2023-09-29T22:02:24Z,140,10,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,Overcast
2023-10-17T16:43:05Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2023-09-26T19:00:00Z,325,20,1,0,0,8,3,0,0,0,0,0,0,0,1,0,5,Partly Cloudy
2023-09-23T15:31:42Z,442,28,0,0,1,23,0,1,0,0,1,0,0,0,6,0,0,Partly Cloudy
2023-10-13T22:00:00Z,65,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,Partly Cloudy
2023-10-10T19:00:00Z,401,29,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,Partly Cloudy
2023-09-05T13:30:00Z,318,22,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,Clear
2023-09-19T11:45:00Z,160,19,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,Overcast
2023-01-09T18:30:00Z,329,16,2,1,0,14,1,0,0,0,0,0,0,0,9,0,5,Partly Cloudy
2023-09-12T19:18:00Z,513,16,0,0,0,13,5,0,0,0,0,0,0,0,2,0,0,Overcast
2023-10-07T14:30:00Z,60,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,Overcast
2023-10-07T15:30:00Z,83,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,Overcast
2023-09-30T21:30:00Z,169,15,0,0,0,7,1,0,0,0,0,0,0,0,2,0,0,Clear
2023-09-17T21:30:00Z,227,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,Overcast
2023-10-14T22:05:20Z,72,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Clear
2023-10-14T21:05:11Z,453,31,0,0,0,22,5,0,0,0,0,0,0,0,0,1,1,Clear
2023-10-15T22:30:00Z,28,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Overcast
2023-10-02T10:00:00Z,50,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Clear
2023-10-02T11:00:00Z,124,8,0,0,0,5,6,2,0,0,0,0,0,0,0,0,0,Clear
2023-10-02T12:00:00Z,108,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,Clear
2023-10-14T20:00:00Z,502,27,0,1,0,18,2,0,0,0,0,0,0,0,3,9,1,Clear
2023-09-18T09:04:00Z,31,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Partly Cloudy
2023-10-13T15:17:21Z,182,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,Partly Cloudy
2023-10-12T19:45:00Z,149,6,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,Overcast
2023-10-10T19:15:00Z,162,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,Partly Cloudy
2023-10-12T18:45:00Z,714,65,0,0,0,11,1,0,0,0,0,0,0,0,0,0,5,Partly Cloudy
2023-10-11T20:00:00Z,220,32,0,0,0,9,1,0,0,0,0,0,0,0,0,1,5,Partly Cloudy
2023-10-11T19:00:00Z,385,64,0,0,0,17,0,0,0,0,0,0,0,0,0,2,4,Clear
2023-10-10T18:47:07Z,258,9,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,Partly Cloudy
2023-10-10T18:42:16Z,543,32,0,1,0,13,2,0,0,0,0,0,0,0,2,0,2,Overcast
2023-09-18T09:04:00Z,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Partly Cloudy
2023-10-07T15:04:00Z,364,58,0,1,0,15,0,2,0,0,1,0,0,1,0,0,1,Partly Cloudy
2023-10-10T17:01:11Z,244,30,0,0,0,2,2,0,0,0,0,0,0,0,5,1,1,Overcast
2023-09-18T22:15:00Z,29,0,0,1,0,0,0,0,0,-4,0,0,0,0,0,0,0,Rain
2023-10-06T15:30:00Z,136,9,0,2,0,5,0,0,0,0,0,0,0,0,0,0,4,Overcast
2023-10-06T17:01:44Z,487,91,0,1,0,16,0,0,0,0,0,0,0,0,10,10,1,Overcast
2023-10-06T14:30:00Z,454,94,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,Overcast
2023-10-04T12:30:00Z,321,45,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,Clear
2023-10-04T11:30:00Z,310,26,0,0,0,8,4,0,0,0,0,0,0,0,0,0,1,Clear
2023-10-03T09:30:00Z,142,5,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,Clear
2023-10-03T08:30:00Z,168,9,0,0,0,10,0,1,0,0,0,0,0,0,0,2,0,Clear
2023-10-03T14:33:23Z,132,5,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,Clear
2023-09-30T20:30:00Z,387,20,0,1,0,7,1,0,0,0,0,0,0,0,0,0,1,Partly Cloudy
2023-09-28T21:00:00Z,201,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Overcast
2023-09-21T14:00:00Z,121,6,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Clear
2023-09-25T17:40:00Z,311,37,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,Partly Cloudy
2023-09-24T16:45:00Z,212,19,1,1,0,7,1,0,0,0,0,0,0,2,1,2,2,Overcast
2023-09-24T15:45:00Z,442,36,0,1,0,11,0,0,0,3,1,0,0,0,5,1,2,Partly Cloudy
2023-09-23T09:31:00Z,474,26,0,0,0,25,0,0,0,0,0,0,0,0,2,18,0,Clear
2023-09-21T11:45:41Z,272,10,1,0,0,14,0,1,0,0,0,0,0,0,0,1,0,Clear
2023-09-15T20:45:00Z,198,1,3,3,0,9,1,0,0,0,0,0,0,0,2,0,1,Overcast
2023-09-20T11:06:26Z,201,12,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,Clear
2023-09-19T20:43:07Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2023-09-10T19:00:00Z,271,13,3,1,0,17,0,0,0,0,0,0,0,0,2,1,0,Overcast
2023-09-15T22:45:00Z,60,2,1,2,0,1,0,1,0,0,0,0,0,0,2,0,2,Overcast
2023-09-17T11:15:00Z,72,5,3,1,0,2,4,0,0,0,0,0,0,0,0,1,1,Clear
2023-09-18T10:45:00Z,72,10,1,3,0,7,2,0,0,0,0,0,0,0,0,0,0,Rain
2023-09-17T06:15:00Z,55,1,1,0,0,2.5,1.5,1,0,0,0,0,0,0,1,3,0,Partly Cloudy
2023-08-01T22:10:00Z,228,36,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,Partly Cloudy
2023-08-01T20:30:00Z,731,249,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,Partly Cloudy
2023-07-28T17:15:00Z,477,117,9,1,0,10,0,0,1,0,3,0,0,0,0,1,7,Clear
2023-07-27T16:20:00Z,436,142,2,0,0,10,3,0,0,0,0,0,0,0,0,0,12,Overcast
2023-07-27T15:17:00Z,700,168,3,1,0,21,3,0,0,0,1,0,0,0,0,1,8,Overcast
2023-07-26T17:15:00Z,97,6,2,3,0,2,1,0,0,0,1,0,0,0,0,1,6,Clear
2023-07-26T16:15:00Z,299,71,0,12,0,15,0,0,0,0,4,0,0,0,0,0,6,Clear
2023-07-18T23:41:00Z,191,23,0,1,0,5,1,0,0,0,0,1,0,0,0,0,1,Partly Cloudy
2023-07-14T19:20:00Z,515,100,0,2,0,18,0,0,0,0,1,0,0,0,0,1,4,Overcast
2023-07-13T18:42:00Z,487,89,3,1,0,21,3,0,0,0,1,0,1,0,0,2,4,Partly Cloudy
2023-07-07T14:00:00Z,187,41,4,0,0,7,0,0,0,0,6,0,0,0,0,0,2,NA
